start_route_id,end_route_id,start_stop_id,end_stop_id,walking_distance_m,walking_path_nodes
RSdPdtwiGzlvedMSUpA36,-H9LP4vuOqj-RIRCZNg_6,322,321,139.9497237497058,"[2712663257, 1605614943, 6953697314, 6953697312, 6948570678, 2712663245]"
-Z1R0bmP-3IQrktLaw1-i,-H9LP4vuOqj-RIRCZNg_6,301,326,92.16306949973314,"[4166052725, 1886821074, 1886821204]"
O-PLpyiKLXCmTOTN2ykl2,-H9LP4vuOqj-RIRCZNg_6,192,321,88.90297949528872,"[2712663239, 5413673836, 2712663245]"
d1tk5YD606wPnGF4CLm4i,-H9LP4vuOqj-RIRCZNg_6,427,326,181.65884038086884,"[6952133530, 1886821135, 11462532250, 1886821204]"
-H9LP4vuOqj-RIRCZNg_6,-Z1R0bmP-3IQrktLaw1-i,326,327,92.16306949973314,"[1886821204, 1886821074, 4166052725]"
2HEouGQcgjyXwlsq69h3S,-Z1R0bmP-3IQrktLaw1-i,300,298,249.80652235647767,"[9414993322, 7014712781, 7043828810, 9414993328, 7023732362, 7023732364, 7023732365]"
50n7_gqFiIrgeNHtVzwF0,-Z1R0bmP-3IQrktLaw1-i,326,327,92.16306949973314,"[1886821204, 1886821074, 4166052725]"
8CWoTtootKoeWNjoE5oOP,-Z1R0bmP-3IQrktLaw1-i,326,327,92.16306949973314,"[1886821204, 1886821074, 4166052725]"
BKzwbCqAolUfyoXfpTwIC,-Z1R0bmP-3IQrktLaw1-i,325,327,1256.981164658676,"[4326474663, 11462717726, 5439510412, 4326474661, 11527409521, 6950754299, 6950754336, 6950754293, 6950754289, 6952133530, 1886821135, 11462532250, 1886821204, 1886821074, 4166052725]"
cQIW-LxFXCIuxPpIw4MR2,-Z1R0bmP-3IQrktLaw1-i,296,296,0.0,[5392019571]
kdziSzfhBj4JiBeVoloxo,-Z1R0bmP-3IQrktLaw1-i,344,344,0.0,[6480742784]
1Ctgvye_a8bTjvozOsfEX,-Z1R0bmP-3IQrktLaw1-i,177,301,1993.1691896509014,"[317908405, 7041564226, 9368718200, 4168311512, 9368774130, 5392019578, 7113581386, 7113581387, 7113581389, 7113581393, 7023732365, 7023732364, 7023732362, 9414993328, 7043828810, 7043828811]"
2vubw4wDlR7h4SuBBiS6p,-Z1R0bmP-3IQrktLaw1-i,425,301,0.0,[7043828811]
CTJ48OMS2Nn2CyW093CBk,-Z1R0bmP-3IQrktLaw1-i,15,301,0.0,[7043828811]
DaGuT_I6g5QpO40EcF4u7,-Z1R0bmP-3IQrktLaw1-i,419,301,81.24395009563578,"[9359493413, 7043828816, 7043828811]"
FaHumA7HIyjyuC7E4M1jZ,-Z1R0bmP-3IQrktLaw1-i,189,301,1993.1691896509014,"[317908405, 7041564226, 9368718200, 4168311512, 9368774130, 5392019578, 7113581386, 7113581387, 7113581389, 7113581393, 7023732365, 7023732364, 7023732362, 9414993328, 7043828810, 7043828811]"
RSdPdtwiGzlvedMSUpA36,-Z1R0bmP-3IQrktLaw1-i,322,296,1792.7267033132398,"[6485868051, 7011812107, 6485857211, 6486022036, 7014739939, 6485857224, 7011812106, 6485857238, 6485868050, 6977240809, 6977240799, 8482032648, 2578743473, 7043828811, 7043828810, 9414993328, 7023732362, 7023732364, 5392019571]"
d1tk5YD606wPnGF4CLm4i,-Z1R0bmP-3IQrktLaw1-i,427,327,273.821909880602,"[6952133530, 1886821135, 11462532250, 1886821204, 1886821074, 4166052725]"
hx4EeoLjM7NJfnYrVfGvk,-Z1R0bmP-3IQrktLaw1-i,180,301,1993.1691896509014,"[317908405, 7041564226, 9368718200, 4168311512, 9368774130, 5392019578, 7113581386, 7113581387, 7113581389, 7113581393, 7023732365, 7023732364, 7023732362, 9414993328, 7043828810, 7043828811]"
tMb6GY09D_zaob3QQV8vM,-Z1R0bmP-3IQrktLaw1-i,179,301,1993.1691896509014,"[317908405, 7041564226, 9368718200, 4168311512, 9368774130, 5392019578, 7113581386, 7113581387, 7113581389, 7113581393, 7023732365, 7023732364, 7023732362, 9414993328, 7043828810, 7043828811]"
7udRe7A9ekRD6rtEEN_uD,0WNbk9MGSKJVqVAWMBS1q,189,195,198.9339859709625,"[6446573515, 276659249, 1885931733, 6818143503, 276659446, 1892904326]"
FaHumA7HIyjyuC7E4M1jZ,0WNbk9MGSKJVqVAWMBS1q,189,195,198.9339859709625,"[6446573515, 276659249, 1885931733, 6818143503, 276659446, 1892904326]"
O-PLpyiKLXCmTOTN2ykl2,0WNbk9MGSKJVqVAWMBS1q,192,192,0.0,[1814665419]
T6BRc19d7TrtHQroCLymy,0WNbk9MGSKJVqVAWMBS1q,192,192,0.0,[1814665419]
V_vEOLz-VvDvsJC4jk5JR,0WNbk9MGSKJVqVAWMBS1q,190,192,117.06575927290262,"[262336905, 274589372, 1814665419]"
_RCpDqcLlmzJHSPPy8bli,0WNbk9MGSKJVqVAWMBS1q,192,192,0.0,[1814665419]
edXbrlxHb468dADNBXJ2G,0WNbk9MGSKJVqVAWMBS1q,216,219,308.5375535809871,"[6985079820, 339081311, 7048869158, 527831696, 8442698477, 6985153417]"
lbr0LeYaqC-PO2eSd5dsH,0WNbk9MGSKJVqVAWMBS1q,189,195,198.9339859709625,"[6446573515, 276659249, 1885931733, 6818143503, 276659446, 1892904326]"
nd53PomhCqmjY7ykLQy83,0WNbk9MGSKJVqVAWMBS1q,79,80,0.0,[3879996652]
ruQq1su0J7bVhBjmIi2kw,0WNbk9MGSKJVqVAWMBS1q,195,195,0.0,[1892904326]
xkITynYnba-VdPTlpu5kL,0WNbk9MGSKJVqVAWMBS1q,219,219,0.0,[6985153417]
2z926Q9o3YtgjyoxtMW1d,0WNbk9MGSKJVqVAWMBS1q,425,195,0.0,[1892904326]
5NjpP8xmvr1-OYnw7E5Jn,0WNbk9MGSKJVqVAWMBS1q,258,195,0.0,[1892904326]
DKfQEdGZMwRbkHDkrwcPx,0WNbk9MGSKJVqVAWMBS1q,54,195,172.0613700674482,"[6943200496, 276659249, 1885931733, 6818143503, 276659446, 1892904326]"
E14B9x9RNkVqAHJvJBYqa,0WNbk9MGSKJVqVAWMBS1q,260,195,0.0,[1892904326]
Jahu5bHSRsdCyh3p5H6cJ,0WNbk9MGSKJVqVAWMBS1q,156,80,143.028829084899,"[6992201151, 5503106644, 5503106645, 3879996652]"
NwvVKB38LtB63C0PtEo-i,0WNbk9MGSKJVqVAWMBS1q,425,230,0.0,[6952038537]
dC4CWsX_TbK9g5r1kzt4S,0WNbk9MGSKJVqVAWMBS1q,48,80,528.1542977656857,"[6947834641, 6947834652, 6950701610, 6950701510, 6950701618, 6950701584, 6950701583, 6123228790, 6950701628, 4168310070, 6485810773, 5672090625, 5503106644, 5503106645, 3879996652]"
jmLM1TsmnRPlkOtGUD0nu,0WNbk9MGSKJVqVAWMBS1q,85,182,12.670053350258444,"[3883555026, 260754134]"
kdziSzfhBj4JiBeVoloxo,0WNbk9MGSKJVqVAWMBS1q,344,195,70.91761918018832,"[1892904334, 4323956583, 1892904326]"
o8mSXE7IgJWToUsU4NnFr,0WNbk9MGSKJVqVAWMBS1q,277,192,0.0,[1814665419]
oepuTc06iN5U0ZwjmqZIj,0WNbk9MGSKJVqVAWMBS1q,424,199,180.97182328188137,"[6953678227, 261726784]"
rJNlVBeJYLnin9iUCfQ8_,0WNbk9MGSKJVqVAWMBS1q,310,195,70.91761918018832,"[1892904334, 4323956583, 1892904326]"
xg6X_6yI3-x6agQaIKy0r,0WNbk9MGSKJVqVAWMBS1q,309,192,117.06575927290262,"[262336905, 274589372, 1814665419]"
BDGXXpou9Eb38xEVTNUs2,0fV-oHdZjqIXEVAq-5E7b,120,7,0.0,[1175843806]
CTJ48OMS2Nn2CyW093CBk,0fV-oHdZjqIXEVAq-5E7b,15,7,0.0,[1175843806]
Rx10-oSKyoIJDvbVd1Py3,0fV-oHdZjqIXEVAq-5E7b,29,7,0.0,[1175843806]
