shape_id,distance_km
-Q2gVX9GgVSEtVr-yv6Nf_Shape,6.2782
-vGMBy-ffWWJVczaRlv5z_Shape,13.4071
025LCvbNrkhPcZFND6SfE_Shape,22.3272
0I4f41gSbP4Nhu5ZbZZGv_Shape,3.8015
0eMropKVlaFEwtKn18KiF_Shape,2.252
0h48FVJYF7q0a-Fr5KoJ2_Shape,30.675
1pTTdCYNksTHRhSFGpg76_Shape,13.6534
1qykx9U9w6xm1N6GqnR-i_Shape,2.5273000000000003
1v5hAqd3R5NHO2_mRDJ3z_Shape,7.1342
28mrnCSEb3wYAsdtd50rU_Shape,6.8953
34nbNemVSy5O0QhQ5utuQ_Shape,13.146
3CgzuUO_dn1teCfMyugyc_Shape,87.66260000000001
3DsaT0dcW0e0BLcyD3Q6E_Shape,11.8627
3JTmhQmnxSU9cPkJSaSlE_Shape,92.3923
3RevHK5a3aJRhrnXG0U-Y_Shape,4.8223
3SynmEGmJSDoBYRTRgEkj_Shape,12.379
3g4cs6y1Zst9EwOYH-YQE_Shape,96.067
3wTFymMNfLvqoIaC8VkMX_Shape,3.1992
40rOFL2qzN26P2ty7q_b9_Shape,31.6889
4B_Jpa3Jm_xxCkTcY6IDN_Shape,22.4388
4QUtLrt9QqoQBADynOzAM_Shape,35.4325
4dazyxD50LYtjM4jq9_Ot_Shape,19.8895
5gdYQVlYNdFvy7jCqIDu7_Shape,31.0148
6LBLdjAw8E6T2OCvlWEr8_Shape,11.6201
6OIx6bTrieeeSM5cAiCs-_Shape,65.0074
6d2W3a35jKEGSEjY9OqMB_Shape,3.331
6u8t_kqOv1J6Cy4UiIRO__Shape,3.6931
7OIDYqQb_VCEwYHFGH_e5_Shape,2.7734
7PVy-xzsAclt9bvyLn2D__Shape,12.7644
7oFBV_-FjsLDgC5o68Mli_Shape,6.2094
8wpT6YlGJmfsskCDg8AJT_Shape,8.4348
9ByH2YQ54cshi1Sj8kgPQ_Shape,11.353399999999999
9LVHJSd6OMdlCKboaE00V_Shape,40.496900000000004
9iBvMMprqaal91Eesle9O_Shape,18.087400000000002
AOVtM-9TZ3fXGgaCnC-sH_Shape,38.0345
APpubImR-DQ7ipx8VqTDi_Shape,22.156299999999998
Ass95AtKKd_cJzSpFbbks_Shape,5.65
BSHIbLq-S_VbTLPj0f5S7_Shape,2.9658
Bir76FY1196m5b2RCrotL_Shape,7.5383000000000004
BxVJu5Cu3SBv6k6JEotw3_Shape,54.3243
CHPoO06l96ZxXNoM4s7El_Shape,4.5923
Cl-oT7WLLDtvd9UF3t3WF_Shape,92.17760000000001
CmIaLLjNex2vbIMiilGN5_Shape,132.2845
CoaLpd6rmb73R6BNYH7S1_Shape,3.987
DQG7BcWUYPP3fo9nY8SBc_Shape,6.7871999999999995
Da9EIaUt19ZSMI3qwGvzZ_Shape,14.501299999999999
E3cKTAI5hrMdq3gv0l-3g_Shape,17.3427
EglZxh1NkJA5Jax303ARy_Shape,7.6594
Eij4wvz28UMMCWx_xBgPt_Shape,73.331
EoBxLx54RiTmwf0L64PXs_Shape,23.7703
FOMSNPsGQO4s6Y-BM_cpQ_Shape,4.2457
FUo5FExiKwUTpyTUJYA7R_Shape,17.023
GK-B6ExLThapIsC2LwCU5_Shape,4.6914
GVMY3J8hLKwB3k_XzZZNA_Shape,92.5001
H4Zrbg3RLebdgA2rD0SL4_Shape,14.492
HcF2oktSKDVQXpBv7t2j3_Shape,98.4033
