trip_id,from_stop_id,to_stop_id,distance_km
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,309,310,0.5088
-Q2gVX9GgVSEtVr-yv6Nf-07:00:00,310,443,1.1239000000000001
-vGMBy-ffWWJVczaRlv5z-07:00:00,427,430,2.5056
-vGMBy-ffWWJVczaRlv5z-07:00:00,430,431,1.863
-vGMBy-ffWWJVczaRlv5z-07:00:00,431,344,2.6407
-vGMBy-ffWWJVczaRlv5z-07:00:00,344,339,1.3802
-vGMBy-ffWWJVczaRlv5z-07:00:00,339,321,0.43939999999999996
-vGMBy-ffWWJVczaRlv5z-07:00:00,321,323,1.3594000000000002
025LCvbNrkhPcZFND6SfE-07:00:00,15,6,2.4697
025LCvbNrkhPcZFND6SfE-07:00:00,6,251,4.410399999999999
025LCvbNrkhPcZFND6SfE-07:00:00,251,249,0.6545
025LCvbNrkhPcZFND6SfE-07:00:00,249,121,1.514
0I4f41gSbP4Nhu5ZbZZGv-07:00:00,179,177,1.6455
0I4f41gSbP4Nhu5ZbZZGv-07:00:00,177,307,1.4303
0eMropKVlaFEwtKn18KiF-07:00:00,294,316,0.7139
0eMropKVlaFEwtKn18KiF-07:00:00,316,290,0.4026
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,403,200,0.9773999999999999
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,200,199,0.32230000000000003
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,199,224,0.18059999999999998
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,224,226,0.663
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,226,230,0.3495
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,230,242,0.6684
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,242,244,1.0674000000000001
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,244,246,0.5815
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,246,240,0.4061
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,240,236,1.0509000000000002
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,236,238,0.6514
0h48FVJYF7q0a-Fr5KoJ2-07:00:00,238,234,0.5454
